# Core stack (scripts 01-17, 20)
pandas
numpy
matplotlib
seaborn
squarify        # treemap (06)
plotly          # sankey (20)

# Optional
geopandas       # static maps (choropleth, bubble) — 18, 19
folium          # interactive Leaflet maps — 27
mapclassify     # choropleth classification schemes (quantiles, ckmeans)
bokeh           # interactive choropleth with hover — 29
plotly          # interactive choropleth — 42 (write_html)
great_tables    # gt-inspired HTML tables — table/04
# geoplot        # optional: polyplot/choropleth on Albers projection — 40, 41 (needs cartopy)
# basemap        # optional/legacy: bubble map background — 43 (mpl_toolkits.basemap)
# contextily     # optional: real basemap tiles behind static maps (needs network) — 33
# seaborn is already above (rocket/mako/flare/crest palettes — 32)
kaleido         # static PNG export for plotly sankey (20)

# Color-scheme libraries (styles/palettes.py + reference sheets)
palettable      # ColorBrewer, CARTOColors, cmocean, Scientific, Tableau, Wes Anderson ...
pypalettes      # 2,500+ palettes (load_cmap / show_cmap)
morethemes      # report-grade matplotlib themes (economist, wsj, ft, nord ...)
# pyfonts        # optional: load Google Fonts into matplotlib
# drawarrow      # optional: nice annotation arrows
# bokeh          # optional: Category10/20 are hardcoded in styles/palettes.py
highlight_text  # annotated maps/ridgelines (38, and optional elsewhere)

# Advanced annotated gallery pieces (Economist / TidyTuesday styles)
flexitext       # mixed bold/regular titles (Economist line+area, etc.)
adjustText      # auto-positioned non-overlapping labels (regression scatter)
scikit-learn    # regression fit line (scatter)
scipy           # spline smoothing (smoothed stacked area)
