city,state,program_name,model,scope,cycle,fee_notes,year,authority,url,notes,verify
Chester,PA,Residential Rental License,license,All non-owner-occupied residential units,Annual license + inspection,Per-unit annual fee,,City of Chester Code / L&I,https://www.chestercity.com/departments/licenses-and-inspections/,Reference model for this scan; enforcement relaunched in rounds 2021-2023 per city FAQ,N
Philadelphia,PA,Rental License + Certificate of Rental Suitability,license,All rental units,Annual,Per-unit annual fee (~$60s),,Phila. Code ch. 9-3900,https://www.phila.gov/services/permits-violations-licenses/get-a-license/business-licenses/rental-and-property/get-a-rental-license/,Moving toward rotating proactive inspections on ~5-yr cycle,N
Pittsburgh,PA,Rental Registration Program,registration,All rental units,Periodic,Per-unit fee,2015+,Pittsburgh Code ch. 781,https://pittsburghpa.gov/pli,Litigated by landlord groups; re-adopted - confirm current operating status,Y
West Chester,PA,Rental License,license,All rental properties,Annual license; periodic inspection,Per-property fee + inspection,,Borough Code,https://www.west-chester.com/823/Rental-Licenses,Typical PA borough model; hundreds of PA boroughs have similar programs,N
Allentown,PA,Rental Registration & Inspection,inspection,All rental units,Systematic inspection cycle,Per-unit fee,,City Code,https://www.allentownpa.gov/,Long-running systematic rental inspection city,Y
Baltimore,MD,Rental Property License,license,All rentals incl. 1-2 unit dwellings,2-3 yr license; inspection by state-licensed private inspector,Per-property fee + private inspection cost,2018,Balt. City Code art. 13,https://dhcd.baltimorecity.gov/rental-property-registration-and-licensing,One of oldest inspection regimes; expanded to 1-2 unit buildings in 2018-19,N
Washington,DC,Basic Business License (rental endorsements),license,All rental housing,Biennial license; proactive inspections,Fee by endorsement class,,DC Code / DOB,https://dob.dc.gov/,One- and two-family and apartment endorsements; DOB proactive inspection program,N
Montgomery County,MD,Rental Facility License,license,All rental facilities,Annual,Per-unit fee,,County Code ch. 29,https://www.montgomerycountymd.gov/DHCA/housing/licensing/,County-level licensing model,N
Prince George's County,MD,Rental Facility License,license,Single-family + multifamily rentals,Biennial,Per-facility fee,,County Code,https://www.princegeorgescountymd.gov/,Confirm current cycle and scope,Y
Boston,MA,Rental Registration & Inspection,registration,All private rental units,Annual registration; inspection every 5 yrs,Per-unit registration fee,2013,Boston Code ch. 9-1.3,https://www.boston.gov/departments/inspectional-services/rental-registration,Registration + rolling 5-yr inspection,N
New York,NY,HPD Annual Property Registration,registration,3+ unit buildings and non-owner-occupied 1-2 family,Annual,Modest per-building fee,,NYC Admin Code / MDL,https://www.nyc.gov/site/hpd/services-and-information/register-your-property.page,Registration only - no license gate; separate rent-stabilization registry,N
Rochester,NY,Certificate of Occupancy for Rentals,inspection,All rental property,C of O renewed on 3-6 yr cycle by risk,Inspection fee,,Rochester Code ch. 90,https://www.cityofrochester.gov/co/,Lead-paint inspection integrated into C of O cycle - notable model,N
Syracuse,NY,Rental Registry,registration,Non-owner-occupied 1-2 family,Periodic with interior inspection,Per-property fee,2007,Syracuse Code,https://www.syracuse.ny.us/,Strengthened ~2019-2020 to require interior inspections; upheld in court,N
